date,periodName,geo,شهادة,استشهاد,شهيد,جهاد,كافر,كفار,سورة الفاتحة,الأقصى,سورة الانفال,في سبيل الله,وضوء,عملية,صلاة,مكة,ركعة,صوم
31/12/2021 00:00,מהומות בנגב על רקע נטיעות קקל,IL,34,0,0,26,0,0,0,63,0,0,62,18,86,48,0,0
01/01/2022 00:00,מהומות בנגב על רקע נטיעות קקל,IL,48,0,41,25,0,63,0,73,0,34,0,43,63,0,51,0
02/01/2022 00:00,מהומות בנגב על רקע נטיעות קקל,IL,49,0,0,38,0,0,0,46,0,26,45,33,34,18,0,0
03/01/2022 00:00,מהומות בנגב על רקע נטיעות קקל,IL,100,0,32,20,0,0,0,47,0,0,0,47,62,36,39,0
04/01/2022 00:00,מהומות בנגב על רקע נטיעות קקל,IL,15,45,0,45,0,57,0,65,0,30,0,54,64,21,68,0
05/01/2022 00:00,מהומות בנגב על רקע נטיעות קקל,IL,43,90,74,23,0,0,90,11,0,30,0,54,46,62,45,0
06/01/2022 00:00,מהומות בנגב על רקע נטיעות קקל,IL,74,93,38,47,0,58,0,45,0,0,0,48,48,21,23,0
07/01/2022 00:00,מהומות בנגב על רקע נטיעות קקל,IL,79,0,40,25,0,0,0,59,0,33,0,25,93,68,25,0
01/02/2022 00:00,לאחר מהומות בנגב על רקע נטיעות קקל,IL,19,0,0,63,40,100,28,44,84,40,0,80,51,16,15,0
02/02/2022 00:00,לאחר מהומות בנגב על רקע נטיעות קקל,IL,56,0,39,31,0,0,28,62,0,40,0,40,43,32,14,0
03/02/2022 00:00,לאחר מהומות בנגב על רקע נטיעות קקל,IL,75,0,0,63,40,0,28,43,0,40,0,40,38,0,0,42
04/02/2022 00:00,לאחר מהומות בנגב על רקע נטיעות קקל,IL,93,0,0,39,100,42,0,23,0,0,100,100,73,100,36,0
05/02/2022 00:00,לאחר מהומות בנגב על רקע נטיעות קקל,IL,45,0,0,37,0,0,100,37,100,0,32,61,48,57,17,0
